餐厅名称,城市,区域,美食类型,综合评分,口味评分,环境评分,服务评分,人均消费(元),点评数量,地址,推荐菜,推荐菜_清洗,价格等级,评分等级,口碑均衡度,热门度,推荐菜列表,是否高性价比
面庄馆,南京,栖霞区,面馆,4.1,4.1,3.6,3.9,15.0,233,南京栖霞区万达广场夫子庙大道885号东区1层,葱油拌面、刀削面、热干面,葱拌面、刀面、热干面,低消费(≤30),优秀(4-4.5),0.25,6.4,"['葱油拌面', '刀削面', '热干面']",True
将太无二记,重庆,沙坪坝区,日料,4.0,4.3,3.7,4.0,164.0,336,重庆沙坪坝区北城天街弄511号东区1层,章鱼小丸子、拉面、天妇罗,、拉面、妇罗,中高(101-200),良好(3.5-4),0.3,9.07,"['章鱼小丸子', '拉面', '天妇罗']",False
渝咖啡厅,成都,高新区,咖啡厅,3.9,3.9,4.1,4.0,23.0,90,成都高新区万象城玉林街531号,美式咖啡、抹茶拿铁、提拉米苏,美咖啡、抹茶拿、拉米,低消费(≤30),良好(3.5-4),0.1,2.27,"['美式咖啡', '抹茶拿铁', '提拉米苏']",False
自助餐店,杭州,拱墅区,自助餐,3.4,3.7,3.4,3.7,93.0,158,杭州拱墅区ifc文三路969号B2层,甜品、寿司、海鲜拼盘,品、、海拼盘,中等(61-100),一般(3-3.5),0.17,3.56,"['甜品', '寿司', '海鲜拼盘']",False
咖啡厅,上海,杨浦区,咖啡厅,3.1,3.3,3.6,3.4,63.0,65,上海杨浦区太古里淮海街32号1楼,芝士蛋糕、提拉米苏、华夫饼,蛋糕、拉米、华夫饼,中等(61-100),一般(3-3.5),0.15,1.27,"['芝士蛋糕', '提拉米苏', '华夫饼']",False
惠食佳馆,苏州,虎丘区,粤菜,3.5,3.8,3.2,3.6,74.0,247,苏州虎丘区ifc观前弄189号,豉汁蒸排骨、烧鹅、煲仔饭,豉排骨、烧鹅、煲饭,中等(61-100),一般(3-3.5),0.31,5.8,"['豉汁蒸排骨', '烧鹅', '煲仔饭']",False
素食馆,上海,虹口区,素食,3.6,3.7,3.3,3.3,87.0,210,上海虹口区万达广场五角场路337号,松仁玉米、菌菇汤、素饺子,仁米、菌菇、饺,中等(61-100),良好(3.5-4),0.23,5.05,"['松仁玉米', '菌菇汤', '素饺子']",False
点都德阁,苏州,相城区,粤菜,4.2,4.3,3.4,4.1,99.0,20,苏州相城区观前弄15号南区3层,煲仔饭、虾饺、豉汁蒸排骨,煲饭、饺、豉排骨,中等(61-100),优秀(4-4.5),0.47,0.43,"['煲仔饭', '虾饺', '豉汁蒸排骨']",False
蓉翠园,苏州,姑苏区,粤菜,4.7,4.5,4.3,4.5,79.0,241,苏州姑苏区万象城太湖路175号6楼,虾饺、煲仔饭、豉汁蒸排骨,饺、煲饭、豉排骨,中等(61-100),卓越(≥4.5),0.12,7.6,"['虾饺', '煲仔饭', '豉汁蒸排骨']",True
佩姐庄,北京,海淀区,火锅,3.5,3.4,3.0,3.6,128.0,43,北京海淀区望京巷450号,虾滑、肥牛、黄喉,滑、肥牛、黄喉,中高(101-200),一般(3-3.5),0.31,0.91,"['虾滑', '肥牛', '黄喉']",False
京东南店,武汉,洪山区,东南亚菜,3.9,4.0,3.9,4.0,82.0,553,武汉洪山区光谷巷595号,烤肉串、越南河粉、芒果糯米饭,烤肉串、南河粉、芒果糯米饭,中等(61-100),良好(3.5-4),0.06,14.64,"['烤肉串', '越南河粉', '芒果糯米饭']",False
小吃小馆,深圳,龙华区,小吃快餐,3.9,3.9,3.4,4.0,21.0,2098,深圳龙华区海上世界大道3号4楼,凉皮、煎饼果子、生煎,凉皮、煎饼果、煎,低消费(≤30),良好(3.5-4),0.32,55.9,"['凉皮', '煎饼果子', '生煎']",False
韩国料理,深圳,龙岗区,韩国料理,4.0,3.8,3.9,4.1,84.0,25,深圳龙岗区华强北弄989号B1层,紫菜包饭、炸鸡、大酱汤,菜包饭、鸡、大酱,中等(61-100),良好(3.5-4),0.15,0.55,"['紫菜包饭', '炸鸡', '大酱汤']",False
面馆,深圳,龙岗区,面馆,4.1,4.3,4.2,4.3,32.0,1813,深圳龙岗区华强北巷41号北区2层,牛肉面、炸酱面、葱油拌面,牛肉面、酱面、葱拌面,中低(31-60),优秀(4-4.5),0.06,50.77,"['牛肉面', '炸酱面', '葱油拌面']",True
老汤,南京,鼓楼区,面馆,2.9,2.5,2.4,3.3,19.0,43,南京鼓楼区中山路918号,馄饨、臊子面、兰州拉面,馄饨、臊面、兰拉面,低消费(≤30),较差(<3),0.49,0.75,"['馄饨', '臊子面', '兰州拉面']",False
蜀烧烤庄,深圳,宝安区,烧烤,3.8,4.2,3.4,3.6,55.0,14607,深圳宝安区科技园巷735号4楼,烤韭菜、烤鱼、烤鸡翅,烤韭菜、烤、烤鸡翅,中低(31-60),良好(3.5-4),0.42,380.0,"['烤韭菜', '烤鱼', '烤鸡翅']",False
火锅料理,武汉,武昌区,火锅,4.1,3.8,4.4,4.2,77.0,944,武汉武昌区来福士司门口路893号B1层,虾滑、藕片、豆皮,滑、藕片、豆皮,中等(61-100),优秀(4-4.5),0.31,26.37,"['虾滑', '藕片', '豆皮']",True
大小龙坎,重庆,江北区,火锅,4.5,4.5,4.7,4.3,74.0,11,重庆江北区南滨巷575号,午餐肉、毛肚、肥牛,餐肉、毛肚、肥牛,中等(61-100),优秀(4-4.5),0.2,0.18,"['午餐肉', '毛肚', '肥牛']",True
老西餐记,深圳,龙岗区,西餐,4.0,4.0,3.8,3.8,233.5,312,深圳龙岗区科技园大道888号,意面、奶油蘑菇汤、烤鸡,面、奶蘑菇、烤鸡,高端(>200),良好(3.5-4),0.12,8.41,"['意面', '奶油蘑菇汤', '烤鸡']",False
东南亚菜,北京,昌平区,东南亚菜,3.8,3.6,4.2,4.0,90.0,58,北京昌平区恒隆广场望京巷977号,越南河粉、烤肉串、菠萝饭,南河粉、烤肉串、菠萝饭,中等(61-100),良好(3.5-4),0.31,1.38,"['越南河粉', '烤肉串', '菠萝饭']",False
聚火锅楼,广州,荔湾区,火锅,4.5,4.9,4.4,4.5,121.0,167,广州荔湾区来福士北京路大道803号,虾滑、黄喉、鸭血,滑、黄喉、,中高(101-200),优秀(4-4.5),0.26,4.99,"['虾滑', '黄喉', '鸭血']",False
小吃料理,苏州,工业园区,小吃快餐,2.8,3.1,2.9,2.9,16.0,63,苏州工业园区万象城观前大道302号B1层,小笼包、麻辣烫、酸辣粉,笼包、麻辣、辣粉,低消费(≤30),较差(<3),0.12,1.11,"['小笼包', '麻辣烫', '酸辣粉']",False
京小吃轩,北京,丰台区,小吃快餐,4.1,4.4,4.0,4.2,22.0,13821,北京丰台区中关村弄644号5楼,生煎、麻辣烫、锅贴,煎、麻辣、锅,低消费(≤30),优秀(4-4.5),0.2,387.93,"['生煎', '麻辣烫', '锅贴']",True
西餐食堂,南京,栖霞区,西餐,3.1,3.2,3.2,2.8,153.0,3540,南京栖霞区中山巷218号3楼,奶油蘑菇汤、牛排、意面,奶蘑菇、牛排、面,中高(101-200),一般(3-3.5),0.23,75.05,"['奶油蘑菇汤', '牛排', '意面']",False
韩国料理居,重庆,江北区,韩国料理,3.5,3.6,3.4,3.6,53.0,61,重庆江北区观音桥路152号,石锅拌饭、泡菜汤、冷面,锅拌饭、泡菜、冷面,中低(31-60),一般(3-3.5),0.12,1.34,"['石锅拌饭', '泡菜汤', '冷面']",False
福西餐楼,苏州,姑苏区,西餐,4.0,4.0,4.0,4.1,160.0,39,苏州姑苏区太湖弄253号B1层,烤鸡、沙拉、汉堡,烤鸡、沙拉、汉堡,中高(101-200),良好(3.5-4),0.06,0.93,"['烤鸡', '沙拉', '汉堡']",False
日料,广州,越秀区,日料,4.0,4.1,3.6,3.9,157.0,2643,广州越秀区ifc天河巷964号,鳗鱼饭、炸猪排、拉面,鳗饭、排、拉面,中高(101-200),良好(3.5-4),0.25,72.26,"['鳗鱼饭', '炸猪排', '拉面']",False
海鲜,武汉,武昌区,海鲜,3.5,3.2,3.4,3.3,181.0,5,武汉武昌区江汉大道699号6楼,海胆蒸蛋、蒜蓉生蚝、白灼虾,海胆蛋、蓉蚝、白,中高(101-200),一般(3-3.5),0.1,0.0,"['海胆蒸蛋', '蒜蓉生蚝', '白灼虾']",False
大韩国料理,广州,番禺区,韩国料理,3.9,3.9,4.1,3.5,104.0,15,广州番禺区万象城体育西巷462号,炸鸡、泡菜汤、紫菜包饭,鸡、泡菜、菜包饭,中高(101-200),良好(3.5-4),0.31,0.27,"['炸鸡', '泡菜汤', '紫菜包饭']",False
马旺子,广州,海珠区,川菜,4.0,4.0,4.2,4.1,54.0,17,广州海珠区江南西巷484号,担担面、鱼香肉丝、水煮鱼,担担面、肉、,中低(31-60),良好(3.5-4),0.1,0.33,"['担担面', '鱼香肉丝', '水煮鱼']",True
粤广州酒家,成都,武侯区,粤菜,4.0,4.1,4.0,4.0,80.0,104,成都武侯区万象城春熙路826号4楼,烧鹅、豉汁蒸排骨、干炒牛河,烧鹅、豉排骨、干炒牛河,中等(61-100),良好(3.5-4),0.06,2.71,"['烧鹅', '豉汁蒸排骨', '干炒牛河']",True
丰茂,武汉,洪山区,烧烤,3.7,3.8,3.8,3.9,45.0,97,武汉洪山区万象城江汉路53号,烤馒头、羊肉串、烤鱼,烤馒、肉串、烤,中低(31-60),良好(3.5-4),0.06,2.33,"['烤馒头', '羊肉串', '烤鱼']",False
聚面包甜点,武汉,江汉区,面包甜点,3.5,3.5,3.2,3.8,34.0,650,武汉江汉区江汉大道49号5楼,蛋挞、提拉米苏、菠萝包,蛋、拉米、菠萝包,中低(31-60),一般(3-3.5),0.3,15.46,"['蛋挞', '提拉米苏', '菠萝包']",False
大蓉和坊,成都,金牛区,川菜,3.7,3.6,3.3,3.6,77.0,787,成都金牛区宽窄街645号东区1层,宫保鸡丁、水煮鱼、担担面,宫保鸡丁、、担担面,中等(61-100),良好(3.5-4),0.17,19.82,"['宫保鸡丁', '水煮鱼', '担担面']",False
点都德,武汉,武昌区,粤菜,3.9,3.9,3.8,4.1,44.0,918,武汉武昌区凯德司门口路994号,烧鹅、肠粉、叉烧,烧鹅、肠粉、叉烧,中低(31-60),良好(3.5-4),0.15,24.39,"['烧鹅', '肠粉', '叉烧']",False
御川菜堂,苏州,姑苏区,川菜,3.8,4.0,3.9,3.7,53.0,201,苏州姑苏区凯德金鸡湖巷226号,夫妻肺片、辣子鸡、鱼香肉丝,夫妻肺片、辣鸡、肉,中低(31-60),良好(3.5-4),0.15,5.1,"['夫妻肺片', '辣子鸡', '鱼香肉丝']",False
御粤菜店,武汉,江岸区,粤菜,4.0,3.9,4.0,4.4,84.0,332,武汉江岸区楚河汉街弄188号B2层,肠粉、烧鹅、豉汁蒸排骨,肠粉、烧鹅、豉排骨,中等(61-100),良好(3.5-4),0.26,8.96,"['肠粉', '烧鹅', '豉汁蒸排骨']",False
穗东南馆,武汉,江岸区,东南亚菜,4.0,3.8,3.6,3.8,46.0,274,武汉江岸区来福士江汉街898号,烤肉串、芒果糯米饭、青木瓜沙拉,烤肉串、芒果糯米饭、青木瓜沙拉,中低(31-60),良好(3.5-4),0.12,7.37,"['烤肉串', '芒果糯米饭', '青木瓜沙拉']",True
一味,成都,成华区,日料,4.4,4.3,4.4,4.4,137.0,399,成都成华区恒隆广场锦里弄285号,味噌汤、三文鱼刺身、拉面,噌、三刺、拉面,中高(101-200),优秀(4-4.5),0.06,11.87,"['味噌汤', '三文鱼刺身', '拉面']",False
日料,深圳,龙华区,日料,4.1,4.0,3.2,3.9,107.0,2786,深圳龙华区来福士车公庙大道554号3楼,炸猪排、三文鱼刺身、拉面,排、三刺、拉面,中高(101-200),优秀(4-4.5),0.44,78.09,"['炸猪排', '三文鱼刺身', '拉面']",False
福西餐坊,深圳,龙岗区,西餐,3.7,4.0,3.2,3.9,142.0,307,深圳龙岗区凯德海上世界弄890号4楼,奶油蘑菇汤、意面、提拉米苏,奶蘑菇、面、拉米,中高(101-200),良好(3.5-4),0.44,7.65,"['奶油蘑菇汤', '意面', '提拉米苏']",False
火锅小馆,深圳,龙华区,火锅,4.1,4.2,4.4,4.2,152.0,2238,深圳龙华区来福士海岸城街702号东区3层,肥牛、藕片、毛肚,肥牛、藕片、毛肚,中高(101-200),优秀(4-4.5),0.12,62.7,"['肥牛', '藕片', '毛肚']",False
本帮菜,重庆,渝北区,本帮菜,4.7,4.8,4.3,4.6,88.0,348,重庆渝北区ifc磁器口巷21号,糖醋排骨、酒酿圆子、油爆虾,醋排骨、酒酿、爆,中等(61-100),卓越(≥4.5),0.25,11.04,"['糖醋排骨', '酒酿圆子', '油爆虾']",False
素食小馆,成都,武侯区,素食,4.0,3.9,4.0,3.3,28.0,1655,成都武侯区天府街166号B1层,松仁玉米、素烧鹅、素火腿,仁米、烧鹅、火,低消费(≤30),良好(3.5-4),0.38,45.2,"['松仁玉米', '素烧鹅', '素火腿']",True
日料料理,重庆,渝中区,日料,4.0,3.7,4.1,3.6,64.0,413,重庆渝中区恒隆广场洪崖洞大道465号5楼,天妇罗、章鱼小丸子、拉面,妇罗、、拉面,中等(61-100),良好(3.5-4),0.26,11.18,"['天妇罗', '章鱼小丸子', '拉面']",True
湘菜,重庆,江北区,湘菜,3.4,3.1,3.5,3.2,56.0,279,重庆江北区北城天街街784号,辣椒炒肉、剁椒鱼头、臭豆腐,辣椒炒肉、剁椒、臭豆腐,中低(31-60),一般(3-3.5),0.21,6.38,"['辣椒炒肉', '剁椒鱼头', '臭豆腐']",False
面馆,杭州,萧山区,面馆,4.0,3.8,4.0,3.8,41.0,87,杭州萧山区太古里湖滨弄730号,炸酱面、臊子面、热干面,酱面、臊面、热干面,中低(31-60),良好(3.5-4),0.12,2.25,"['炸酱面', '臊子面', '热干面']",True
面庄轩,成都,成华区,面馆,3.0,3.2,2.6,3.1,16.0,429,成都成华区来福士玉林街43号西区1层,刀削面、牛肉面、炸酱面,刀面、牛肉面、酱面,低消费(≤30),较差(<3),0.32,8.71,"['刀削面', '牛肉面', '炸酱面']",False
日料,深圳,南山区,日料,4.5,4.3,4.4,4.5,233.5,3801,深圳南山区深南巷116号南区2层,鳗鱼饭、三文鱼刺身、炸猪排,鳗饭、三刺、排,高端(>200),优秀(4-4.5),0.1,116.98,"['鳗鱼饭', '三文鱼刺身', '炸猪排']",False
鑫面包店,苏州,虎丘区,面包甜点,3.9,3.9,3.6,3.9,19.0,15,苏州虎丘区凯德太湖路152号,芝士蛋糕、提拉米苏、蛋挞,蛋糕、拉米、蛋,低消费(≤30),良好(3.5-4),0.17,0.27,"['芝士蛋糕', '提拉米苏', '蛋挞']",False
食堂店,深圳,龙华区,小吃快餐,3.2,3.3,3.3,3.2,17.0,233,深圳龙华区龙湖天街海岸城大道735号,煎饼果子、锅贴、肉夹馍,煎饼果、锅、肉夹馍,低消费(≤30),一般(3-3.5),0.06,5.0,"['煎饼果子', '锅贴', '肉夹馍']",False
大龙燚,苏州,虎丘区,火锅,4.7,4.8,4.4,4.5,141.0,126,苏州虎丘区大悦城观前路404号,豆皮、鸭肠、鸭血,豆皮、肠、,中高(101-200),卓越(≥4.5),0.21,3.89,"['豆皮', '鸭肠', '鸭血']",False
蓉东南亚菜,南京,建邺区,东南亚菜,3.8,3.8,3.8,4.1,76.0,25,南京建邺区万象城百家湖巷731号B1层,越南河粉、烤肉串、菠萝饭,南河粉、烤肉串、菠萝饭,中等(61-100),良好(3.5-4),0.17,0.52,"['越南河粉', '烤肉串', '菠萝饭']",False
食堂阁,杭州,萧山区,小吃快餐,3.6,3.2,3.4,3.4,38.0,4005,杭州萧山区恒隆广场武林路132号,小笼包、煎饼果子、肉夹馍,笼包、煎饼果、肉夹馍,中低(31-60),良好(3.5-4),0.12,98.62,"['小笼包', '煎饼果子', '肉夹馍']",False
广州酒家,成都,成华区,粤菜,3.8,3.5,3.9,3.7,66.0,90,成都成华区建设街64号B2层,肠粉、虾饺、干炒牛河,肠粉、饺、干炒牛河,中等(61-100),良好(3.5-4),0.2,2.21,"['肠粉', '虾饺', '干炒牛河']",False
味明婷,北京,大兴区,川菜,3.6,3.5,3.7,3.7,77.0,27,北京大兴区王府井弄495号2楼,担担面、宫保鸡丁、回锅肉,担担面、宫保鸡丁、回锅肉,中等(61-100),良好(3.5-4),0.12,0.54,"['担担面', '宫保鸡丁', '回锅肉']",False
翠园,成都,金牛区,粤菜,3.8,3.6,4.1,3.8,115.0,779,成都金牛区天府弄592号3楼,虾饺、叉烧、豉汁蒸排骨,饺、叉烧、豉排骨,中高(101-200),良好(3.5-4),0.25,20.14,"['虾饺', '叉烧', '豉汁蒸排骨']",False
面包甜点,上海,长宁区,面包甜点,3.9,4.0,3.5,3.6,43.0,173,上海长宁区万象城徐家汇巷720号北区1层,慕斯蛋糕、菠萝包、马卡龙,慕蛋糕、菠萝包、马卡龙,中低(31-60),良好(3.5-4),0.26,4.49,"['慕斯蛋糕', '菠萝包', '马卡龙']",False
火锅料理,杭州,滨江区,火锅,4.1,3.9,3.8,4.7,142.0,873,杭州滨江区武林大道597号,黄喉、酥肉、鸭肠,黄喉、肉、肠,中高(101-200),优秀(4-4.5),0.49,24.37,"['黄喉', '酥肉', '鸭肠']",False
私房菜,苏州,虎丘区,私房菜,3.9,4.2,3.9,3.9,107.0,60,苏州虎丘区万达广场太湖大道331号,私房豆腐、招牌煲仔、招牌蒸鱼,房豆腐、牌煲、牌,中高(101-200),良好(3.5-4),0.17,1.47,"['私房豆腐', '招牌煲仔', '招牌蒸鱼']",False
西餐食堂,深圳,龙岗区,西餐,4.0,3.7,4.2,4.1,233.5,5,深圳龙岗区恒隆广场科技园巷94号,沙拉、牛排、提拉米苏,沙拉、牛排、拉米,高端(>200),良好(3.5-4),0.26,0.0,"['沙拉', '牛排', '提拉米苏']",False
老面道,南京,建邺区,面馆,3.8,3.9,3.7,4.3,28.0,94,南京建邺区太古里河西弄652号南区3层,臊子面、兰州拉面、热干面,臊面、兰拉面、热干面,低消费(≤30),良好(3.5-4),0.31,2.32,"['臊子面', '兰州拉面', '热干面']",False
品韩国料理,杭州,拱墅区,韩国料理,3.2,3.5,3.5,3.0,64.0,2229,杭州拱墅区武林弄464号,炒年糕、大酱汤、泡菜汤,炒年糕、大酱、泡菜,中等(61-100),一般(3-3.5),0.29,48.74,"['炒年糕', '大酱汤', '泡菜汤']",False
味大龙燚,深圳,龙岗区,火锅,4.2,4.0,4.2,4.3,166.0,415,深圳龙岗区万象城科技园路798号5楼,藕片、午餐肉、鸭血,藕片、餐肉、,中高(101-200),优秀(4-4.5),0.15,11.79,"['藕片', '午餐肉', '鸭血']",False
九宫格店,深圳,罗湖区,火锅,3.9,3.8,3.6,3.7,125.0,470,深圳罗湖区万达广场东门街859号,虾滑、藕片、豆皮,滑、藕片、豆皮,中高(101-200),良好(3.5-4),0.1,12.42,"['虾滑', '藕片', '豆皮']",False
面馆小馆,苏州,工业园区,面馆,4.1,4.4,4.4,3.9,31.0,50,苏州工业园区山塘弄939号B2层,馄饨、热干面、牛肉面,馄饨、热干面、牛肉面,中低(31-60),优秀(4-4.5),0.29,1.26,"['馄饨', '热干面', '牛肉面']",True
沪扒房,广州,海珠区,西餐,3.0,3.2,3.0,3.2,227.0,371,广州海珠区上下九巷130号,披萨、奶油蘑菇汤、汉堡,披萨、奶蘑菇、汉堡,高端(>200),较差(<3),0.12,7.52,"['披萨', '奶油蘑菇汤', '汉堡']",False
小吃,武汉,光谷,小吃快餐,2.5,2.6,1.9,2.6,25.0,334,武汉光谷武广巷413号西区1层,煎饼果子、生煎、小笼包,煎饼果、煎、笼包,低消费(≤30),较差(<3),0.4,5.63,"['煎饼果子', '生煎', '小笼包']",False
渝东北,成都,青羊区,烧烤,3.6,4.0,3.2,3.9,38.0,854,成都青羊区恒隆广场玉林弄858号,烤韭菜、烤鱼、烤鸡翅,烤韭菜、烤、烤鸡翅,中低(31-60),良好(3.5-4),0.44,20.93,"['烤韭菜', '烤鱼', '烤鸡翅']",False
粤本帮轩,广州,白云区,本帮菜,4.1,4.1,3.5,3.9,57.0,3342,广州白云区太古里珠江新城弄786号,蟹粉豆腐、酒酿圆子、糖醋排骨,粉豆腐、酒酿、醋排骨,中低(31-60),优秀(4-4.5),0.31,93.7,"['蟹粉豆腐', '酒酿圆子', '糖醋排骨']",True
小吃记,南京,鼓楼区,小吃快餐,3.7,3.8,4.0,3.5,27.0,397,南京鼓楼区恒隆广场百家湖路804号,锅贴、酸辣粉、生煎,锅、辣粉、煎,低消费(≤30),良好(3.5-4),0.25,9.93,"['锅贴', '酸辣粉', '生煎']",False
一味楼,深圳,南山区,日料,4.2,4.1,4.1,4.0,228.0,5013,深圳南山区科技园路685号,三文鱼刺身、章鱼小丸子、鳗鱼饭,三刺、、鳗饭,高端(>200),优秀(4-4.5),0.06,144.05,"['三文鱼刺身', '章鱼小丸子', '鳗鱼饭']",False
龙韩国料理,北京,丰台区,韩国料理,3.3,3.2,4.0,3.6,90.0,61,北京丰台区国贸路624号,冷面、炒年糕、大酱汤,冷面、炒年糕、大酱,中等(61-100),一般(3-3.5),0.4,1.27,"['冷面', '炒年糕', '大酱汤']",False
御小吃堂,重庆,南岸区,小吃快餐,3.1,3.4,3.5,2.8,21.0,5,重庆南岸区万达广场观音桥大道752号,凉皮、麻辣烫、生煎,凉皮、麻辣、煎,低消费(≤30),一般(3-3.5),0.38,0.0,"['凉皮', '麻辣烫', '生煎']",False
海鲜馆,广州,天河区,海鲜,4.1,4.4,4.0,3.7,106.0,1177,广州天河区凯德体育西路532号B1层,白灼虾、蒜蓉生蚝、海胆蒸蛋,白、蓉蚝、海胆蛋,中高(101-200),优秀(4-4.5),0.35,32.91,"['白灼虾', '蒜蓉生蚝', '海胆蒸蛋']",False
沪湘菜,北京,大兴区,湘菜,4.5,4.6,4.1,4.6,74.0,8284,北京大兴区ifc五道口大道820号,剁椒鱼头、小炒肉、辣椒炒肉,剁椒、炒肉、辣椒炒肉,中等(61-100),优秀(4-4.5),0.29,255.14,"['剁椒鱼头', '小炒肉', '辣椒炒肉']",True
鑫木屋,深圳,龙岗区,烧烤,3.8,3.8,3.4,4.0,89.0,23,深圳龙岗区龙湖天街海上世界路700号,烤韭菜、羊肉串、扇贝,烤韭菜、肉串、扇贝,中等(61-100),良好(3.5-4),0.31,0.47,"['烤韭菜', '羊肉串', '扇贝']",False
京本帮菜,杭州,萧山区,本帮菜,4.1,4.3,4.4,4.3,76.0,304,杭州萧山区延安弄125号B1层,油爆虾、红烧肉、酒酿圆子,爆、红烧肉、酒酿,中等(61-100),优秀(4-4.5),0.06,8.4,"['油爆虾', '红烧肉', '酒酿圆子']",True
聚很久以前,重庆,江北区,烧烤,3.9,3.8,4.0,3.8,47.0,754,重庆江北区北城天街弄13号东区1层,骨肉相连、烤鱼、烤韭菜,骨肉连、烤、烤韭菜,中低(31-60),良好(3.5-4),0.12,20.0,"['骨肉相连', '烤鱼', '烤韭菜']",False
利苑,南京,秦淮区,粤菜,4.4,4.3,4.4,4.5,60.0,50,南京秦淮区玄武大道259号5楼,干炒牛河、煲仔饭、叉烧,干炒牛河、煲饭、叉烧,中低(31-60),优秀(4-4.5),0.1,1.36,"['干炒牛河', '煲仔饭', '叉烧']",True
小佩姐,广州,海珠区,火锅,4.3,4.5,4.1,4.1,138.0,447,广州海珠区北京路路610号,虾滑、黄喉、藕片,滑、黄喉、藕片,中高(101-200),优秀(4-4.5),0.23,13.02,"['虾滑', '黄喉', '藕片']",False
粤菜,苏州,姑苏区,粤菜,4.2,4.3,4.3,4.0,61.0,980,苏州姑苏区万象城观前街796号南区1层,豉汁蒸排骨、白切鸡、煲仔饭,豉排骨、白鸡、煲饭,中等(61-100),优秀(4-4.5),0.17,28.04,"['豉汁蒸排骨', '白切鸡', '煲仔饭']",True
巴海鲜,上海,普陀区,海鲜,4.3,4.6,4.5,4.4,233.5,3910,上海普陀区来福士延安巷225号,海胆蒸蛋、葱姜炒蟹、白灼虾,海胆蛋、葱姜炒、白,高端(>200),优秀(4-4.5),0.1,114.99,"['海胆蒸蛋', '葱姜炒蟹', '白灼虾']",False
渝川菜轩,南京,江宁区,川菜,3.7,3.6,3.4,3.9,74.0,12,南京江宁区ifc夫子庙大道394号,水煮鱼、鱼香肉丝、回锅肉,、肉、回锅肉,中等(61-100),良好(3.5-4),0.25,0.18,"['水煮鱼', '鱼香肉丝', '回锅肉']",False
渝西餐坊,北京,昌平区,西餐,4.0,4.2,4.0,3.9,226.0,67,北京昌平区大悦城王府井路994号B1层,沙拉、奶油蘑菇汤、牛排,沙拉、奶蘑菇、牛排,高端(>200),良好(3.5-4),0.15,1.7,"['沙拉', '奶油蘑菇汤', '牛排']",False
元气寿司,重庆,江北区,日料,3.4,3.5,3.1,3.7,172.0,1010,重庆江北区恒隆广场磁器口大道38号南区2层,寿司拼盘、拉面、章鱼小丸子,拼盘、拉面、,中高(101-200),一般(3-3.5),0.31,23.4,"['寿司拼盘', '拉面', '章鱼小丸子']",False
御咖啡厅,广州,荔湾区,咖啡厅,4.5,4.5,4.9,4.3,50.0,697,广州荔湾区太古里客村大道668号,华夫饼、提拉米苏、拿铁,华夫饼、拉米、拿,中低(31-60),优秀(4-4.5),0.31,21.33,"['华夫饼', '提拉米苏', '拿铁']",True
味西餐馆,上海,普陀区,西餐,3.9,3.8,4.0,3.9,138.0,78,上海普陀区ifc张江弄941号,沙拉、意面、披萨,沙拉、面、披萨,中高(101-200),良好(3.5-4),0.1,1.95,"['沙拉', '意面', '披萨']",False
金老汤,南京,建邺区,面馆,3.1,3.0,2.6,3.1,14.0,172,南京建邺区凯德新街口路71号B1层,葱油拌面、兰州拉面、刀削面,葱拌面、兰拉面、刀面,低消费(≤30),一般(3-3.5),0.26,3.55,"['葱油拌面', '兰州拉面', '刀削面']",False
盛海底风味,广州,白云区,火锅,3.6,3.6,3.9,4.1,93.0,1429,广州白云区客村巷946号西区3层,鸭肠、酥肉、肥牛,肠、肉、肥牛,中等(61-100),良好(3.5-4),0.25,35.11,"['鸭肠', '酥肉', '肥牛']",False
老自助店,苏州,相城区,自助餐,3.4,3.1,3.4,3.2,78.0,45,苏州相城区狮山弄232号,寿司、三文鱼、烤牛排,、三、烤牛排,中等(61-100),一般(3-3.5),0.15,0.93,"['寿司', '三文鱼', '烤牛排']",False
韩国料理楼,武汉,江岸区,韩国料理,3.2,3.2,3.2,3.1,64.0,1005,武汉江岸区ifc司门口大道301号,烤肉、紫菜包饭、冷面,烤肉、菜包饭、冷面,中等(61-100),一般(3-3.5),0.06,21.91,"['烤肉', '紫菜包饭', '冷面']",False
鹏自助馆,深圳,龙岗区,自助餐,3.8,3.3,3.8,3.7,154.0,1618,深圳龙岗区恒隆广场华强北路37号3楼,海鲜拼盘、三文鱼、冰淇淋,海拼盘、三、冰淇淋,中高(101-200),良好(3.5-4),0.26,41.98,"['海鲜拼盘', '三文鱼', '冰淇淋']",False
炳胜,成都,武侯区,粤菜,4.9,5.0,4.6,4.6,106.0,3900,成都武侯区大悦城太古里弄275号1楼,干炒牛河、叉烧、烧鹅,干炒牛河、叉烧、烧鹅,中高(101-200),卓越(≥4.5),0.23,130.7,"['干炒牛河', '叉烧', '烧鹅']",False
粤饕林,上海,杨浦区,川菜,3.1,3.0,3.9,3.2,110.0,5005,上海杨浦区大悦城徐家汇路924号,担担面、夫妻肺片、鱼香肉丝,担担面、夫妻肺片、肉,中高(101-200),一般(3-3.5),0.47,106.15,"['担担面', '夫妻肺片', '鱼香肉丝']",False
